starttime	seconds	ctime	dtime	ttime	wait
Wed Nov 30 17:54:08 2011	1322704448	0	278	278	278
Wed Nov 30 17:54:18 2011	1322704458	0	278	278	278
Wed Nov 30 17:58:37 2011	1322704717	0	278	278	278
Wed Nov 30 17:53:57 2011	1322704437	0	278	278	278
Wed Nov 30 17:58:35 2011	1322704715	0	278	278	278
Wed Nov 30 17:58:33 2011	1322704713	0	278	278	278
Wed Nov 30 17:58:33 2011	1322704713	0	278	278	278
Wed Nov 30 17:54:15 2011	1322704455	0	278	278	278
Wed Nov 30 17:53:57 2011	1322704437	0	278	278	278
Wed Nov 30 17:58:44 2011	1322704724	0	278	278	278
Wed Nov 30 17:53:49 2011	1322704429	0	278	278	278
Wed Nov 30 17:53:53 2011	1322704433	0	279	279	279
Wed Nov 30 17:54:15 2011	1322704455	0	279	279	279
Wed Nov 30 17:58:37 2011	1322704717	0	279	279	279
Wed Nov 30 17:54:12 2011	1322704452	0	279	279	279
Wed Nov 30 17:53:49 2011	1322704429	0	279	279	279
Wed Nov 30 17:54:03 2011	1322704443	0	279	279	279
Wed Nov 30 17:54:05 2011	1322704445	0	279	279	279
Wed Nov 30 17:53:50 2011	1322704430	0	280	280	280
Wed Nov 30 17:54:07 2011	1322704447	0	280	280	280
Wed Nov 30 17:53:51 2011	1322704431	0	280	280	280
Wed Nov 30 17:53:50 2011	1322704430	0	280	280	280
Wed Nov 30 17:54:04 2011	1322704444	0	280	280	280
Wed Nov 30 17:53:51 2011	1322704431	0	280	280	280
Wed Nov 30 17:54:12 2011	1322704452	0	280	281	280
Wed Nov 30 17:53:49 2011	1322704429	0	281	281	281
Wed Nov 30 17:54:08 2011	1322704448	0	281	281	281
Wed Nov 30 17:53:50 2011	1322704430	0	281	281	281
Wed Nov 30 17:54:03 2011	1322704443	0	281	281	281
Wed Nov 30 17:58:38 2011	1322704718	0	281	281	281
Wed Nov 30 17:58:47 2011	1322704727	0	281	281	281
Wed Nov 30 17:58:35 2011	1322704715	0	282	282	282
Wed Nov 30 17:53:54 2011	1322704434	0	282	282	282
Wed Nov 30 17:58:47 2011	1322704727	0	282	282	282
Wed Nov 30 17:53:54 2011	1322704434	0	282	282	282
Wed Nov 30 17:53:56 2011	1322704436	0	282	282	282
Wed Nov 30 17:54:14 2011	1322704454	0	282	282	282
Wed Nov 30 17:53:50 2011	1322704430	0	282	282	282
Wed Nov 30 17:58:48 2011	1322704728	0	283	283	283
Wed Nov 30 17:58:38 2011	1322704718	0	283	283	283
Wed Nov 30 17:54:14 2011	1322704454	0	283	283	283
Wed Nov 30 17:58:38 2011	1322704718	0	283	283	283
Wed Nov 30 17:58:34 2011	1322704714	0	283	283	283
Wed Nov 30 17:54:16 2011	1322704456	0	284	284	284
Wed Nov 30 17:54:18 2011	1322704458	0	284	284	284
Wed Nov 30 17:58:48 2011	1322704728	0	284	284	284
Wed Nov 30 17:54:14 2011	1322704454	0	284	284	284
Wed Nov 30 17:58:35 2011	1322704715	0	284	284	284
Wed Nov 30 17:53:55 2011	1322704435	0	285	285	285
Wed Nov 30 17:58:48 2011	1322704728	0	285	285	285
Wed Nov 30 17:58:45 2011	1322704725	0	285	285	285
Wed Nov 30 17:54:18 2011	1322704458	0	285	285	285
Wed Nov 30 17:54:19 2011	1322704459	0	287	287	287
Wed Nov 30 17:54:08 2011	1322704448	0	287	287	287
Wed Nov 30 17:53:56 2011	1322704436	0	288	288	288
Wed Nov 30 17:53:54 2011	1322704434	0	288	288	288
Wed Nov 30 17:54:18 2011	1322704458	0	288	288	288
Wed Nov 30 17:54:16 2011	1322704456	0	290	290	290
Wed Nov 30 17:58:39 2011	1322704719	0	290	290	290
Wed Nov 30 17:58:34 2011	1322704714	0	291	291	291
Wed Nov 30 17:54:18 2011	1322704458	0	291	291	291
Wed Nov 30 17:54:07 2011	1322704447	0	291	291	291
Wed Nov 30 17:58:34 2011	1322704714	0	292	292	292
Wed Nov 30 17:54:08 2011	1322704448	0	292	292	292
Wed Nov 30 17:54:05 2011	1322704445	0	293	293	293
Wed Nov 30 17:54:13 2011	1322704453	0	294	294	294
Wed Nov 30 17:54:01 2011	1322704441	0	294	294	294
Wed Nov 30 17:58:39 2011	1322704719	0	295	295	295
Wed Nov 30 17:54:04 2011	1322704444	0	297	297	297
Wed Nov 30 17:58:45 2011	1322704725	0	298	298	298
Wed Nov 30 17:54:09 2011	1322704449	0	298	298	298
Wed Nov 30 17:53:49 2011	1322704429	0	298	298	298
Wed Nov 30 17:53:51 2011	1322704431	0	299	299	299
Wed Nov 30 17:58:35 2011	1322704715	0	299	299	299
Wed Nov 30 17:58:44 2011	1322704724	0	300	300	300
